threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.5,1.0,0.6666666666666666,0.5
0.35,0.5,1.0,0.6666666666666666,0.5
0.36,0.5,1.0,0.6666666666666666,0.5
0.37,0.5,1.0,0.6666666666666666,0.5
0.38,0.5,1.0,0.6666666666666666,0.5
0.39,0.5,1.0,0.6666666666666666,0.5
0.4,0.5,1.0,0.6666666666666666,0.5
0.41,0.5,1.0,0.6666666666666666,0.5
0.42,0.5,1.0,0.6666666666666666,0.5
0.43,0.5,1.0,0.6666666666666666,0.5
0.44,0.5,1.0,0.6666666666666666,0.5
0.45,0.5,1.0,0.6666666666666666,0.5
0.46,0.5,1.0,0.6666666666666666,0.5
0.47,0.5,1.0,0.6666666666666666,0.5
0.48,0.5,1.0,0.6666666666666666,0.5
0.49,0.5,1.0,0.6666666666666666,0.5
0.5,0.5,1.0,0.6666666666666666,0.5
0.51,0.5,1.0,0.6666666666666666,0.5
0.52,0.5,1.0,0.6666666666666666,0.5
0.53,0.5,1.0,0.6666666666666666,0.5
0.54,0.5,1.0,0.6666666666666666,0.5
0.55,0.5,1.0,0.6666666666666666,0.5
0.56,0.5,1.0,0.6666666666666666,0.5
0.57,0.5,1.0,0.6666666666666666,0.5
0.58,0.5,1.0,0.6666666666666666,0.5
0.59,0.5,1.0,0.6666666666666666,0.5
0.6,0.5,1.0,0.6666666666666666,0.5
0.61,0.5,1.0,0.6666666666666666,0.5
0.62,0.5,1.0,0.6666666666666666,0.5
0.63,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.64,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.65,0.5202702702702703,1.0,0.6844444444444444,0.538961038961039
0.66,0.5238095238095238,1.0,0.6875,0.5454545454545454
0.67,0.5273972602739726,1.0,0.6905829596412556,0.551948051948052
0.68,0.5422535211267606,1.0,0.7031963470319634,0.577922077922078
0.69,0.5539568345323741,1.0,0.7129629629629629,0.5974025974025974
0.7,0.5746268656716418,1.0,0.7298578199052133,0.6298701298701299
0.71,0.5923076923076923,1.0,0.7439613526570048,0.6558441558441559
0.72,0.6062992125984252,1.0,0.7549019607843137,0.6753246753246753
0.73,0.6260162601626016,1.0,0.77,0.7012987012987013
0.74,0.6581196581196581,1.0,0.7938144329896907,0.7402597402597403
0.75,0.6814159292035398,1.0,0.8105263157894737,0.7662337662337663
0.76,0.6875,1.0,0.8148148148148148,0.7727272727272727
0.77,0.6936936936936937,1.0,0.8191489361702128,0.7792207792207793
0.78,0.7264150943396226,1.0,0.8415300546448088,0.8116883116883117
0.79,0.7475728155339806,1.0,0.8555555555555555,0.8311688311688312
0.8,0.7938144329896907,1.0,0.8850574712643678,0.8701298701298701
0.81,0.8191489361702128,1.0,0.9005847953216374,0.8896103896103896
0.82,0.8279569892473119,1.0,0.9058823529411765,0.8961038961038961
0.83,0.8461538461538461,1.0,0.9166666666666666,0.9090909090909091
0.84,0.8555555555555555,1.0,0.9221556886227545,0.9155844155844156
0.85,0.8953488372093024,1.0,0.9447852760736196,0.9415584415584416
0.86,0.927710843373494,1.0,0.9625,0.961038961038961
0.87,0.927710843373494,1.0,0.9625,0.961038961038961
0.88,0.927710843373494,1.0,0.9625,0.961038961038961
0.89,0.95,0.987012987012987,0.9681528662420382,0.9675324675324676
0.9,1.0,0.935064935064935,0.9664429530201343,0.9675324675324676
0.91,1.0,0.7922077922077922,0.8840579710144928,0.8961038961038961
0.92,1.0,0.6233766233766234,0.768,0.8116883116883117
0.93,1.0,0.36363636363636365,0.5333333333333333,0.6818181818181818
0.94,1.0,0.09090909090909091,0.16666666666666666,0.5454545454545454
0.95,0.0,0.0,0.0,0.5
0.96,0.0,0.0,0.0,0.5
0.97,0.0,0.0,0.0,0.5
0.98,0.0,0.0,0.0,0.5
0.99,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
