threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.5,1.0,0.6666666666666666,0.5
0.35,0.5,1.0,0.6666666666666666,0.5
0.36,0.5,1.0,0.6666666666666666,0.5
0.37,0.5,1.0,0.6666666666666666,0.5
0.38,0.5,1.0,0.6666666666666666,0.5
0.39,0.5,1.0,0.6666666666666666,0.5
0.4,0.5,1.0,0.6666666666666666,0.5
0.41,0.5,1.0,0.6666666666666666,0.5
0.42,0.5,1.0,0.6666666666666666,0.5
0.43,0.5,1.0,0.6666666666666666,0.5
0.44,0.5,1.0,0.6666666666666666,0.5
0.45,0.5,1.0,0.6666666666666666,0.5
0.46,0.5,1.0,0.6666666666666666,0.5
0.47,0.5,1.0,0.6666666666666666,0.5
0.48,0.5,1.0,0.6666666666666666,0.5
0.49,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.5,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.51,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.52,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.53,0.5133333333333333,1.0,0.6784140969162996,0.525974025974026
0.54,0.5202702702702703,1.0,0.6844444444444444,0.538961038961039
0.55,0.5244755244755245,0.974025974025974,0.6818181818181818,0.5454545454545454
0.56,0.5597014925373134,0.974025974025974,0.7109004739336493,0.6038961038961039
0.57,0.5853658536585366,0.935064935064935,0.72,0.6363636363636364
0.58,0.5826086956521739,0.8701298701298701,0.6979166666666666,0.6233766233766234
0.59,0.5757575757575758,0.7402597402597403,0.6477272727272727,0.5974025974025974
0.6,0.6265060240963856,0.6753246753246753,0.65,0.6363636363636364
0.61,0.6470588235294118,0.5714285714285714,0.6068965517241379,0.6298701298701299
0.62,0.6610169491525424,0.5064935064935064,0.5735294117647058,0.6233766233766234
0.63,0.7,0.36363636363636365,0.47863247863247865,0.6038961038961039
0.64,0.7575757575757576,0.3246753246753247,0.45454545454545453,0.6103896103896104
0.65,0.9,0.23376623376623376,0.3711340206185567,0.6038961038961039
0.66,0.9333333333333333,0.18181818181818182,0.30434782608695654,0.5844155844155844
0.67,0.875,0.09090909090909091,0.16470588235294117,0.538961038961039
0.68,1.0,0.06493506493506493,0.12195121951219512,0.5324675324675324
0.69,1.0,0.025974025974025976,0.05063291139240506,0.512987012987013
0.7,1.0,0.025974025974025976,0.05063291139240506,0.512987012987013
0.71,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.72,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.73,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.74,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.75,0.0,0.0,0.0,0.5
0.76,0.0,0.0,0.0,0.5
0.77,0.0,0.0,0.0,0.5
0.78,0.0,0.0,0.0,0.5
0.79,0.0,0.0,0.0,0.5
0.8,0.0,0.0,0.0,0.5
0.81,0.0,0.0,0.0,0.5
0.82,0.0,0.0,0.0,0.5
0.83,0.0,0.0,0.0,0.5
0.84,0.0,0.0,0.0,0.5
0.85,0.0,0.0,0.0,0.5
0.86,0.0,0.0,0.0,0.5
0.87,0.0,0.0,0.0,0.5
0.88,0.0,0.0,0.0,0.5
0.89,0.0,0.0,0.0,0.5
0.9,0.0,0.0,0.0,0.5
0.91,0.0,0.0,0.0,0.5
0.92,0.0,0.0,0.0,0.5
0.93,0.0,0.0,0.0,0.5
0.94,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
0.96,0.0,0.0,0.0,0.5
0.97,0.0,0.0,0.0,0.5
0.98,0.0,0.0,0.0,0.5
0.99,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
